Country,"Population (millions)
mid-2023","Births per 1,000 Population","Deaths per 1,000 Population",Rate of Natural Increase (%),Net Migration Rate,Population (millions)mid-2035,Population (millions)mid-2050,Total Fertility Ratea,Family Plann Married(Using All Methods (%)),Family Plann Married(Using Modern Methods (%)),Life Expectancy at Birth (Years)Total,Life Expectancy at Birth (Years)Males,Life Expectancy at Birth (Years)Females,"GNI per Capita, PPPc",Population per km2  of Arable Land,"Projected Deaths per 100,000
Due to Temperature Change,
2040-2059
Annual Avg.d",Internally Displaced Persons Due to Disasters,"Urban Population
(%)","Urban Population Living
in Slum Households
(%)",Moderate/ Severe Food Insecurity (%),Percent of Population(Ages <15),Percent of Population(Ages 65+),Infant Mortality Ratee,Demand for Family Planning Satisfied by Modern Methods (%)f,Ratio of Female to Male Un- employment Rates
Algeria,46.8,24,5,1.9,-1,53.7,61.5,3,54,45,78,77,79,12930,621,3,1500,75,13,19,30,6,21,66,
Egypt,105.2,21,6,1.5,0,124.7,147.1,2.9,59,57,72,70,74,14590,3419,9,,43,1,29,34,4,18,80,2.8
Libya,6.9,17,6,1.1,0,7.7,8.5,2.4,28,16,72,70,75,23590,401,10,,82,,40,28,5,9,24,
Morocco,37,16,5,1.1,-1,40.7,43.6,2.1,71,59,77,75,79,9390,493,-10,,65,11,,25,8,18,72,1.5
Sudan,48.1,33,7,2.6,0,63.6,84.5,4.4,12,12,66,63,68,4150,229,39,227000,36,74,52,41,3,37,30,
Tunisia,11.9,14,11,0.2,-1,12.8,13.6,1.8,51,44,76,75,78,12160,420,4,,71,8,29,25,10,13,63,1.8
Western Sahara,0.6,16,6,1,10,0.7,0.9,2.3,,,71,69,73,,15000,-1,,87,,,24,6,24,,
Benin,13.7,36,9,2.7,0,18.5,25.3,4.9,16,12,60,58,62,4020,489,15,6900,50,68,74,42,3,52,26,1.4
Burkina Faso,22.9,31,9,2.2,-1,30.3,40.1,4.4,34,32,62,60,64,2400,375,44,,33,27,57,46,3,30,56,1
Cabo Verde,0.6,14,6,0.8,-2,0.7,0.7,1.9,56,55,74,70,78,8970,1200,-5,,68,,37,26,6,11,,1.1
Côte d'Ivoire,30.9,33,9,2.4,0,41,55,4.3,21,18,59,58,60,6330,883,10,,53,53,44,38,3,52,41,1.6
Gambia,2.8,34,7,2.7,-1,3.6,4.7,4.4,19,17,63,63,63,2470,636,10,,64,39,61,43,2,42,40,0.8
Ghana,34.1,27,8,1.9,0,42.2,52.2,3.5,31,25,64,62,66,6380,724,13,5900,59,33,39,37,4,32,,
Guinea,14.2,34,10,2.4,0,17.7,22.8,4.3,11,11,61,59,62,2840,458,6,,38,49,73,42,3,67,32,1
Guinea-Bissau,2.2,31,9,2.2,-1,2.7,3.4,3.9,21,20,60,58,62,2220,733,15,,45,61,78,40,3,50,48,0.8
